name|gender|age|income|job|address|education|marriage|family_size|kids_num|login_date|login_time|stay_time|bounce_rate|active_degree|amount|trade_time|game_id|payment|risk|reputation|id
赵倒倒|男|17|0|学生|北京|高中|未婚|4|0|2016-03-27|13:14:32|462|0.980429523553|0.0940225675414|4|12:53:08|10001|QQ|一般|良|1
赵倒蹈|男|17|0|无业|广州|高中|未婚|3|0|2016-11-14|05:46:01|622|0.735341221472|0.125095527683|46|01:21:29|10001|微信|低风险|中等|2
赵倒到|男|17|0|学生|杭州|高中|未婚|3|0|2016-04-08|12:55:34|478|0.0177565583931|0.0846246969155|34|09:34:37|10001|微信|无风险|良|3
赵倒悼|男|17|0|学生|深圳|高中|未婚|3|0|2016-08-16|15:14:18|466|0.504793900661|0.282039217857|38|18:32:48|10002|支付宝|无风险|优|4
赵倒盗|男|18|0|学生|广州|高中|未婚|3|0|2016-04-10|11:54:14|266|0.687146362168|0.317285352055|6|19:28:51|10001|微信|无风险|差|5
赵倒道|女|18|0|学生|杭州|高中|未婚|5|0|2016-12-01|00:07:50|22|0.775170958416|0.0606497655158|42|12:46:21|10001|支付宝|低风险|良|6
赵倒稻|男|18|0|无业|杭州|高中|未婚|5|0|2016-05-03|18:10:23|234|0.309268123948|0.0226827628411|6|10:45:36|10002|微信|低风险|良|7
赵倒得|男|18|0|学生|上海|高中|未婚|3|0|2016-07-09|11:35:30|386|0.128192321326|0.152287164534|4|18:50:39|10001|支付宝|低风险|中等|8
赵倒德|男|18|0|学生|乌鲁木齐|高中|未婚|4|0|2016-08-25|13:41:24|254|0.910424032301|0.337110250059|24|07:08:46|10001|微信|无风险|良|9
赵倒的|男|16|0|学生|深圳|高中|未婚|5|0|2016-02-07|10:37:14|198|0.858092761949|0.299559188207|20|21:59:24|10001|微信|无风险|良|10
赵倒灯|男|15|0|无业|广州|高中|未婚|3|0|2016-02-14|13:54:45|442|0.0820456595505|0.396632629929|46|13:32:22|10001|支付宝|无风险|优|11
赵倒登|男|16|0|无业|杭州|高中|未婚|3|0|2016-11-21|13:21:13|138|0.0307871573131|0.310321931258|4|19:03:19|10001|QQ|一般|良|12
赵蹈倒|女|18|0|学生|深圳|高中|未婚|3|0|2016-05-21|18:02:47|406|0.92755050856|0.157811673289|4|14:46:38|10001|微信|一般|良|13
赵蹈蹈|男|16|0|学生|武汉|高中|未婚|3|0|2016-05-03|10:52:55|266|0.896013287571|0.20234201514|30|06:57:42|10001|支付宝|无风险|中等|14
赵蹈到|女|17|0|学生|广州|高中|未婚|3|0|2016-08-07|20:43:51|438|0.50640396937|0.341888391353|20|02:01:08|10001|支付宝|低风险|优|15
赵蹈悼|男|18|0|学生|广州|高中|未婚|3|0|2016-04-05|04:29:29|546|0.479949190894|0.148624818618|4|11:21:31|10001|微信|无风险|良|16
赵蹈盗|男|16|0|学生|开封|高中|未婚|3|0|2016-09-27|05:48:21|330|0.370039868168|0.316862492836|14|12:38:31|10001|微信|一般|差|17
赵蹈道|男|16|0|学生|武汉|高中|未婚|3|0|2016-04-25|00:11:11|298|0.199321981649|0.187192127455|6|19:18:27|10002|支付宝|低风险|优|18
赵蹈稻|女|16|0|学生|武汉|高中|未婚|3|0|2016-12-10|21:19:58|674|0.735246383867|0.269496843008|6|15:53:07|10001|QQ|低风险|良|19
赵蹈得|男|18|0|学生|佛山|高中|未婚|4|0|2016-03-12|10:33:00|270|0.327651363403|0.257576497496|4|00:00:35|10001|QQ|无风险|优|20
赵蹈德|男|18|0|无业|天津|高中|未婚|4|0|2016-02-11|08:06:11|338|0.0697652940304|0.30279913355|4|11:23:13|10002|微信|无风险|优|21
赵蹈的|女|15|0|学生|上海|高中|未婚|5|0|2016-12-31|16:25:00|698|0.0564822201249|0.300052829544|4|23:44:23|10001|微信|低风险|优|22
赵蹈灯|男|17|0|无业|深圳|高中|未婚|3|0|2016-01-11|00:46:12|566|0.80457162608|0.153724366224|4|09:10:58|10001|QQ|无风险|优|23
赵蹈登|男|18|0|学生|杭州|高中|未婚|3|0|2016-01-16|17:56:34|534|0.757346886614|0.260421861146|4|00:09:25|10001|微信|无风险|优|24
赵到倒|男|16|0|学生|深圳|高中|未婚|3|0|2016-01-20|12:10:49|226|0.528557074293|0.269347216097|4|10:40:16|10001|支付宝|无风险|优|25
赵到蹈|男|16|0|学生|攀枝花|高中|未婚|3|0|2016-04-21|13:18:28|114|0.944212728223|0.109913579768|4|04:36:41|10001|QQ|一般|优|26
赵到到|男|17|0|学生|广州|高中|未婚|3|0|2016-10-14|14:11:40|254|0.506898378668|0.219649615973|4|05:15:18|10001|支付宝|一般|优|27
赵到悼|男|17|0|学生|杭州|高中|未婚|3|0|2016-05-13|21:57:44|670|0.727771937795|0.329722061359|6|13:44:36|10001|QQ|一般|优|28
赵到盗|男|15|0|无业|北京|高中|未婚|3|0|2016-11-10|19:50:59|598|0.855837266322|0.294430072616|28|10:14:29|10001|支付宝|无风险|良|29
